WARNING: ./fetch_pc.v:23: $readmemb(data.txt): Not enough words in the file for the requested range [0:255].
clk = 0, f_pc =                    0, f_icode =  3, f_ifun =  0, f_rA = 14, f_rB =  3, D_icode =  x, D_ifun =  x, D_rA =  x, D_rB =  x, D_valP =                    x, d_icode =  x, d_ifun =  x, d_valA =                    x, d_valB =                    x, d_valC =                    x, d_srcA =  x, d_srcB =  x, d_dstM =  x, d_dstE =  x, E_icode =  x, E_ifun =  x, E_valA =                    x, E_valB =                    x, E_valC =                    x, E_srcA =  x, E_srcB =  x, E_dstM =  x, E_dstE =  x, e_valE =                    0 , reg[0] =                    x, reg[1] =                    x, reg[2] =                    x, reg[3] =                    x, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   36, f_icode =  2, f_ifun =  1, f_rA =  2, f_rB =  3, D_icode =  2, D_ifun =  1, D_rA =  2, D_rB =  3, D_valP =                   36, d_icode =  2, d_ifun =  1, d_valA =                 1280, d_valB =                  256, d_valC =                  256, d_srcA =  2, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  3, E_ifun =  0, E_valA =                    0, E_valB =                  768, E_valC =                  256, E_srcA = 15, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                  256 , reg[0] =                    x, reg[1] =                    x, reg[2] =                  512, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   36, f_icode = 10, f_ifun =  0, f_rA =  2, f_rB =  3, D_icode =  2, D_ifun =  1, D_rA =  2, D_rB =  3, D_valP =                   36, d_icode =  2, d_ifun =  1, d_valA =                 1280, d_valB =                  256, d_valC =                  256, d_srcA =  2, d_srcB =  3, d_dstM = 15, d_dstE =  3, E_icode =  3, E_ifun =  0, E_valA =                    0, E_valB =                  768, E_valC =                  256, E_srcA = 15, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                  256 , reg[0] =                    x, reg[1] =                    x, reg[2] =                  512, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   38, f_icode = 10, f_ifun =  0, f_rA =  2, f_rB =  3, D_icode = 10, D_ifun =  0, D_rA =  2, D_rB =  3, D_valP =                   38, d_icode = 10, d_ifun =  0, d_valA =                 1280, d_valB =                    x, d_valC =                  256, d_srcA =  2, d_srcB =  4, d_dstM = 15, d_dstE =  4, E_icode =  2, E_ifun =  1, E_valA =                 1280, E_valB =                  256, E_valC =                  256, E_srcA =  2, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                 1536 , reg[0] =                    x, reg[1] =                    x, reg[2] =                  512, reg[3] =                  768, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   38, f_icode = 11, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode = 10, D_ifun =  0, D_rA =  2, D_rB =  3, D_valP =                   38, d_icode = 10, d_ifun =  0, d_valA =                 1280, d_valB =                    x, d_valC =                  256, d_srcA =  2, d_srcB =  4, d_dstM = 15, d_dstE =  4, E_icode =  2, E_ifun =  1, E_valA =                 1280, E_valB =                  256, E_valC =                  256, E_srcA =  2, E_srcB =  3, E_dstM = 15, E_dstE =  3, e_valE =                 1536 , reg[0] =                    x, reg[1] =                    x, reg[2] =                  512, reg[3] =                  768, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   40, f_icode = 11, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode = 11, D_ifun =  0, D_rA =  2, D_rB = 15, D_valP =                   40, d_icode = 11, d_ifun =  0, d_valA =                    x, d_valB =                    x, d_valC =                  256, d_srcA =  4, d_srcB =  4, d_dstM =  2, d_dstE =  4, E_icode = 10, E_ifun =  0, E_valA =                 1280, E_valB =                    x, E_valC =                  256, E_srcA =  2, E_srcB =  4, E_dstM = 15, E_dstE =  4, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  768, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode = 11, D_ifun =  0, D_rA =  2, D_rB = 15, D_valP =                   40, d_icode = 11, d_ifun =  0, d_valA =                    x, d_valB =                    x, d_valC =                  256, d_srcA =  4, d_srcB =  4, d_dstM =  2, d_dstE =  4, E_icode = 10, E_ifun =  0, E_valA =                 1280, E_valB =                    x, E_valC =                  256, E_srcA =  2, E_srcB =  4, E_dstM = 15, E_dstE =  4, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  768, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode =  0, D_ifun =  0, D_rA = 15, D_rB = 15, D_valP =                    0, d_icode =  0, d_ifun =  0, d_valA =                    0, d_valB =                    0, d_valC =                    0, d_srcA = 15, d_srcB = 15, d_dstM = 15, d_dstE = 15, E_icode = 11, E_ifun =  0, E_valA =                    x, E_valB =                    x, E_valC =                  256, E_srcA =  4, E_srcB =  4, E_dstM =  2, E_dstE =  4, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode =  0, D_ifun =  0, D_rA = 15, D_rB = 15, D_valP =                    0, d_icode =  0, d_ifun =  0, d_valA =                    0, d_valB =                    0, d_valC =                    0, d_srcA = 15, d_srcB = 15, d_dstM = 15, d_dstE = 15, E_icode = 11, E_ifun =  0, E_valA =                    x, E_valB =                    x, E_valC =                  256, E_srcA =  4, E_srcB =  4, E_dstM =  2, E_dstE =  4, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode =  0, D_ifun =  0, D_rA = 15, D_rB = 15, D_valP =                    0, d_icode =  0, d_ifun =  0, d_valA =                    0, d_valB =                    0, d_valC =                    0, d_srcA = 15, d_srcB = 15, d_dstM = 15, d_dstE = 15, E_icode =  0, E_ifun =  0, E_valA =                    0, E_valB =                    0, E_valC =                    0, E_srcA = 15, E_srcB = 15, E_dstM = 15, E_dstE = 15, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode =  0, D_ifun =  0, D_rA = 15, D_rB = 15, D_valP =                    0, d_icode =  0, d_ifun =  0, d_valA =                    0, d_valB =                    0, d_valC =                    0, d_srcA = 15, d_srcB = 15, d_dstM = 15, d_dstE = 15, E_icode =  0, E_ifun =  0, E_valA =                    0, E_valB =                    0, E_valC =                    0, E_srcA = 15, E_srcB = 15, E_dstM = 15, E_dstE = 15, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 1, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode =  0, D_ifun =  0, D_rA = 15, D_rB = 15, D_valP =                    0, d_icode =  0, d_ifun =  0, d_valA =                    0, d_valB =                    0, d_valC =                    0, d_srcA = 15, d_srcB = 15, d_dstM = 15, d_dstE = 15, E_icode =  0, E_ifun =  0, E_valA =                    0, E_valB =                    0, E_valC =                    0, E_srcA = 15, E_srcB = 15, E_dstM = 15, E_dstE = 15, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
clk = 0, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode =  0, D_ifun =  0, D_rA = 15, D_rB = 15, D_valP =                    0, d_icode =  0, d_ifun =  0, d_valA =                    0, d_valB =                    0, d_valC =                    0, d_srcA = 15, d_srcB = 15, d_dstM = 15, d_dstE = 15, E_icode =  0, E_ifun =  0, E_valA =                    0, E_valB =                    0, E_valC =                    0, E_srcA = 15, E_srcB = 15, E_dstM = 15, E_dstE = 15, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                 1280, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
pipeline.v:224: $finish called at 230000 (1ps)
clk = 1, f_pc =                   40, f_icode =  0, f_ifun =  0, f_rA =  2, f_rB = 15, D_icode =  0, D_ifun =  0, D_rA = 15, D_rB = 15, D_valP =                    0, d_icode =  0, d_ifun =  0, d_valA =                    0, d_valB =                    0, d_valC =                    0, d_srcA = 15, d_srcB = 15, d_dstM = 15, d_dstE = 15, E_icode =  0, E_ifun =  0, E_valA =                    0, E_valB =                    0, E_valC =                    0, E_srcA = 15, E_srcB = 15, E_dstM = 15, E_dstE = 15, e_valE =                    x , reg[0] =                    x, reg[1] =                    x, reg[2] =                    0, reg[3] =                  256, reg[4] =                    x, reg[6] =                    x, reg[7] =                    x
